	title	page_length	last_touched	lastrevid	geneid	proteinID	wikilink	counts	pubcount	median_pub_year	max_pub_year	priority_score
8676	FXR1	9275	2022-03-11T23:04:57Z	1041185348	8087	Q21141398	https://en.wikipedia.org/wiki/FXR1	1	193	2017	2022	1.1470956873315363
8381	LATS1	8934	2022-03-11T23:05:00Z	1042909159	9113	Q21114061	https://en.wikipedia.org/wiki/LATS1	1	192	2015	2022	1.187890882343535
8380	LATS1	8934	2022-03-11T23:05:00Z	1042909159	9113	Q21112541	https://en.wikipedia.org/wiki/LATS1	1	192	2015	2022	1.187890882343535
9099	PRDX3	9834	2022-03-11T23:04:57Z	1043955202	10935	Q21114645	https://en.wikipedia.org/wiki/PRDX3	1	192	2014	2022	1.0854516400825125
7207	RRM1	7650	2022-03-20T16:25:59Z	1044576515	6240	Q21121233	https://en.wikipedia.org/wiki/RRM1	1	191	2013	2022	1.375403828197946
8605	PADI4	9183	2022-03-11T23:04:57Z	1070913841	23569	Q21123689	https://en.wikipedia.org/wiki/PADI4	1	191	2012	2022	1.1571830323112584
4548	SSBP1	5153	2022-03-11T23:05:05Z	1044834060	6742	Q21141185	https://en.wikipedia.org/wiki/SSBP1	1	191	2016	2022	2.008831401957251
7608	EIF3B	8068	2022-03-11T23:05:00Z	1040936755	8662	Q21115722	https://en.wikipedia.org/wiki/EIF3B	1	191	2016	2022	1.3076788370281183
4547	SSBP1	5153	2022-03-11T23:05:05Z	1044834060	6742	Q21126973	https://en.wikipedia.org/wiki/SSBP1	1	191	2016	2022	2.008831401957251
8311	IMPDH2	8835	2022-03-11T23:21:33Z	1032015208	3615	Q21143195	https://en.wikipedia.org/wiki/IMPDH2	1	190	2015	2022	1.1997190557037756
7434	TRAP1	7882	2022-03-11T23:05:05Z	1045671399	10131	Q21122218	https://en.wikipedia.org/wiki/TRAP1	1	190	2015	2022	1.3365706673433138
8310	IMPDH2	8835	2022-03-11T23:21:33Z	1032015208	3615	Q21119156	https://en.wikipedia.org/wiki/IMPDH2	1	190	2015	2022	1.1997190557037756
3922	METTL3	4684	2022-03-11T23:07:39Z	1043220605	56339	Q21124024	https://en.wikipedia.org/wiki/METTL3	1	190	2020	2022	2.202784555325119
7639	TRPC1	8100	2022-03-11T23:03:27Z	1075836591	7220	Q7671460	https://en.wikipedia.org/wiki/TRPC1	1	189	2009	2022	1.302067901234568
8578	CAMK2G	9138	2022-03-11T23:04:42Z	1053689262	818	Q21118356	https://en.wikipedia.org/wiki/CAMK2G	1	189	2010	2021	1.161831363536879
4878	ZC3HAV1	5416	2022-03-11T23:05:21Z	1062635047	56829	Q21101076	https://en.wikipedia.org/wiki/ZC3HAV1	1	189	2017	2022	1.913881093057607
8801	FLOT1	9413	2022-03-11T23:04:57Z	1041179036	10211	Q21117611	https://en.wikipedia.org/wiki/FLOT1	1	189	2014	2022	1.1298605651758207
8800	FLOT1	9413	2022-03-11T23:04:57Z	1041179036	10211	Q21116126	https://en.wikipedia.org/wiki/FLOT1	1	189	2014	2022	1.1298605651758207
7255	TOMM40	7695	2022-03-11T23:07:37Z	1045665240	10452	Q21141593	https://en.wikipedia.org/wiki/TOMM40	1	189	2014	2022	1.3670451591942818
7253	TOMM40	7695	2022-03-11T23:07:37Z	1045665240	10452	Q21135095	https://en.wikipedia.org/wiki/TOMM40	1	189	2014	2022	1.3670451591942818
7254	TOMM40	7695	2022-03-11T23:07:37Z	1045665240	10452	Q21137092	https://en.wikipedia.org/wiki/TOMM40	1	189	2014	2022	1.3670451591942818
5320	BAG2	5779	2022-03-11T23:05:05Z	1075865063	9532	Q21115432	https://en.wikipedia.org/wiki/BAG2	1	189	2016	2022	1.7979031839418584
8442	PPP1R12A	8983	2022-03-11T23:04:56Z	1043949972	4659	Q21112088	https://en.wikipedia.org/wiki/PPP1R12A	1	187	2014	2021	1.179999562665988
5590	NAP1L1	6020	2022-03-11T23:05:01Z	1043622559	4673	Q21130043	https://en.wikipedia.org/wiki/NAP1L1	1	187	2016	2021	1.7279152823920265
8443	PPP1R12A	8983	2022-03-11T23:04:56Z	1043949972	4659	Q21139083	https://en.wikipedia.org/wiki/PPP1R12A	1	187	2014	2021	1.179999562665988
9119	H2AFY	9886	2022-03-11T23:04:57Z	1041605919	9555	Q21105911	https://en.wikipedia.org/wiki/H2AFY	1	187	2015	2021	1.0783171729140775
8673	SNRPB	9274	2022-03-11T23:04:56Z	1044823140	6628	Q21111020	https://en.wikipedia.org/wiki/SNRPB	1	187	2012	2022	1.1450690871561047
8842	RPS27A	9480	2022-03-11T23:04:57Z	1044574921	6233	Q21131865	https://en.wikipedia.org/wiki/RPS27A	1	186	2014	2021	1.121280892103677
6352	IGFBP5	6755	2022-03-11T23:04:09Z	997469737	3488	Q21118418	https://en.wikipedia.org/wiki/IGFBP5	1	186	2009	2022	1.5468134715025907
7875	BAT1	8358	2022-03-11T23:04:56Z	1075865132	7919	Q21136965	https://en.wikipedia.org/wiki/BAT1	1	186	2013	2021	1.2628870543192152
7874	BAT1	8358	2022-03-11T23:04:56Z	1075865132	7919	Q21102336	https://en.wikipedia.org/wiki/BAT1	1	186	2013	2021	1.2628870543192152
2337	CXCL16	3668	2022-03-13T19:37:54Z	981884289	58191	Q21112082	https://en.wikipedia.org/wiki/CXCL16	1	186	2013	2021	2.792709923664122
8849	JUNB	9497	2022-03-11T23:04:10Z	1067804365	3726	Q21116780	https://en.wikipedia.org/wiki/JUNB	1	185	2011	2022	1.1190355224958257
8668	UGT1A9	9265	2022-03-11T23:21:36Z	1045919770	54600	Q21134245	https://en.wikipedia.org/wiki/UGT1A9	1	184	2009	2021	1.145045100609051
3091	PRKCG	4170	2022-03-11T23:04:21Z	992093193	5582	Q21114845	https://en.wikipedia.org/wiki/PRKCG	1	184	2003	2022	2.4637958204864683
7309	SUPT16H	7748	2022-03-11T23:04:58Z	1032053960	11198	Q21113643	https://en.wikipedia.org/wiki/SUPT16H	1	183	2016	2021	1.3560127959289034
8158	CAPN2	8645	2022-03-11T23:04:10Z	1040087815	824	Q21115585	https://en.wikipedia.org/wiki/CAPN2	1	183	2011	2021	1.222095141700405
8961	SNRPD3	9632	2022-03-11T23:04:57Z	1058939577	6634	Q21118434	https://en.wikipedia.org/wiki/SNRPD3	1	183	2014	2021	1.103563122923588
7037	CAND1	7498	2022-03-11T23:05:05Z	1040087538	55832	Q21141742	https://en.wikipedia.org/wiki/CAND1	1	183	2015	2021	1.3990461265861374
6547	KHSRP	6991	2022-03-11T23:05:00Z	1042813657	8570	Q21107520	https://en.wikipedia.org/wiki/KHSRP	1	183	2015	2021	1.4957676706786276
8108	APOBEC3B	8598	2022-03-11T23:05:29Z	1039395770	9582	Q21115268	https://en.wikipedia.org/wiki/APOBEC3B	1	183	2016	2022	1.228418319875054
6548	KHSRP	6991	2022-03-11T23:05:00Z	1042813657	8570	Q21138718	https://en.wikipedia.org/wiki/KHSRP	1	183	2015	2021	1.4957676706786276
8054	KIF5B	8552	2022-03-11T23:04:57Z	1032109825	3799	Q21115085	https://en.wikipedia.org/wiki/KIF5B	1	183	2014	2022	1.2346742616597621
7036	CAND1	7498	2022-03-11T23:05:05Z	1040087538	55832	Q21112922	https://en.wikipedia.org/wiki/CAND1	1	183	2015	2021	1.3990461265861374
8536	EIF3S6	9085	2022-03-11T23:04:13Z	1040937171	3646	Q21113036	https://en.wikipedia.org/wiki/EIF3S6	1	182	2014	2022	1.1657154650522839
6815	HSPH1	7286	2022-03-11T23:04:58Z	1041654285	10808	Q21119780	https://en.wikipedia.org/wiki/HSPH1	1	181	2016	2022	1.4371380534096703
8966	ACTR3	9639	2022-03-11T23:04:10Z	1053696349	10096	Q21201275	https://en.wikipedia.org/wiki/ACTR3	1	181	2014	2022	1.1020948749870318
