	QID	label	geneID	proteinID
548	Q18041341	ST7L	54879	Q21122148
554	Q18041349	TBC1D8B	54885	Q21123464
556	Q18041351	UHRF1BP1	54887	Q21175128
564	Q18041358	SLC66A1	54896	Q21119266
566	Q18041361	ELOVL2	54898	Q21114409
568	Q18041363	LAX1	54900	Q21106231
574	Q18041374	RPP25	54913	Q21207535
575	Q18041380	DNAAF5	54919	Q21105744
581	Q18041386	ZSCAN32	54925	Q21119868
583	Q18041388	CHCHD3	54927	Q21112573
603	Q18041405	ABITRAM	54942	Q21110272
605	Q18041410	LPCAT2	54947	Q21173846
606	Q18041411	MRPL16	54948	Q21123382
607	Q18041414	COMMD8	54951	Q21113017
609	Q18041415	TRNAU1AP	54952	Q21122907
611	Q18041429	C1orf56	54964	Q21436453
617	Q18041433	HPF1	54969	Q21113055
625	Q18032595	ZNF232	7775	Q21131337
627	Q18032599	SLC30A2	7780	Q21113758
629	Q18032605	ZXDA	7789	Q21110513
631	Q18033170	RTCA	8634	Q21208048
633	Q18033172	SSNA1	8636	Q21132210
635	Q18033177	PCDHGB4	8641	Q21121096
637	Q18033182	CHRD	8646	Q22679041
639	Q18033219	JRKL	8690	Q21116085
641	Q18033222	GALNT4	8693	Q22676754
642	Q18033232	B3GALT2	8707	Q21109512
643	Q18033233	B3GALT1	8708	Q21109552
644	Q18033235	TNK1	8711	Q9081246
647	Q18033297	ADAM21	8747	Q21132396
656	Q18033441	DCAF5	8816	Q21101037
658	Q18033468	TMEM11	8834	Q21106685
665	Q18033513	BUD31	8896	Q21112811
667	Q18033523	GYG2	8908	Q21106190
668	Q18033532	TIMELESS	8914	Q21102311
671	Q18033540	BSN	8927	Q21100515
673	Q18033549	FUBP3	8939	Q21110283
675	Q18033625	STBD1	8987	Q21113303
677	Q18033765	CH25H	9023	Q22676906
679	Q18033770	RHBDL1	9028	Q21122690
680	Q18033811	PRY	9081	Q21123330
682	Q18033814	VCY	9084	Q21135889
686	Q18033832	MTMR7	9108	Q21120086
693	Q18033840	INA	9118	Q21105084
695	Q18033842	SLC16A6	9120	Q21108944
699	Q18033867	SYNGR2	9144	Q21135420
701	Q18033881	DGKI	9162	Q21102563
703	Q18033899	SLC24A1	9187	Q21108999
704	Q18033908	HACD1	9200	Q21110995
706	Q18033910	ZMYM4	9202	Q21113078
708	Q18033912	ZMYM6	9204	Q21136541
727	Q3604529	FASN	2194	Q81924470
741	Q18038813	TMEM121B	27439	Q21117201
743	Q18038816	CECR2	27443	Q21117200
745	Q18038839	CDH20	28316	Q21111845
771	Q14886374	GLA	2717	Q288705
772	Q14887306	SLC2A4	6517	Q419973
773	Q17860245	CDH18	1016	Q21111801
775	Q17861616	CHAD	1101	Q21201851
781	Q17861816	CHIT1	1118	Q21117216
783	Q17907790	CLTA	1211	Q21100808
788	Q17708700	AOC1	26	Q21112618
791	Q17815746	TLE5	166	Q21139116
794	Q17854294	LDLRAD4	753	Q21122311
796	Q17854369	CFAP410	755	Q21106533
798	Q17854398	TMEM50B	757	Q21136285
804	Q17855493	CALCB	797	Q21111858
806	Q17855882	CARS1	833	Q21123925
810	Q17855951	CASQ1	844	Q21100546
812	Q17855954	CASQ2	845	Q21100532
820	Q17857124	CD1C	911	Q21113033
822	Q17858387	CD8B	926	Q21100584
828	Q17859331	SIGLEC6	946	Q21103061
833	Q18033936	PNMA1	9240	Q21132731
835	Q18033940	GCNT3	9245	Q21110329
844	Q18033950	MFHAS1	9258	Q21110598
848	Q18033960	BCL7C	9274	Q21113898
849	Q18033961	BCL7B	9275	Q21113900
854	Q18033967	NPIPA1	9284	Q21121737
856	Q18033989	ZNF235	9310	Q21174450
858	Q18033995	PTER	9317	Q21135198
860	Q18039513	REM1	28954	Q21125062
862	Q18039514	DEXI	28955	Q21117475
864	Q18039515	LAMTOR2	28956	Q21133277
870	Q18039526	SLC6A16	28968	Q21124453
872	Q18039530	AAMDC	28971	Q21116283
874	Q18039531	SPCS1	28972	Q21157966
876	Q18039533	C19orf53	28974	Q21114889
878	Q18039536	TMEM14A	28978	Q21133366
880	Q18039546	NTMT1	28989	Q21134164
885	Q18039550	MACROD1	28992	Q21107315
891	Q18039557	ATAD2	29028	Q21111655
910	Q18039570	C1GALT1C1	29071	Q21245932
911	Q18039578	CCDC59	29080	Q21123134
915	Q18039581	GTPBP8	29083	Q21130670
923	Q18039589	STXBP6	29091	Q21124577
925	Q18039596	ORMDL2	29095	Q21124248
