	title	page_length	last_touched	lastrevid	geneID	proteinID	wikilink	counts
1029	OR2T2	2212	2022-03-11T23:05:10Z	1043798184	401992	Q21173811	https://en.wikipedia.org/wiki/OR2T2	1
1030	OR8G1	2212	2022-03-11T23:05:06Z	1043801760	26494	Q21124116	https://en.wikipedia.org/wiki/OR8G1	1
1031	LOXHD1	2214	2022-03-11T23:30:16Z	994858250	125336	Q21107924	https://en.wikipedia.org/wiki/LOXHD1	1
1032	OR10X1	2214	2022-03-11T23:05:06Z	1043796241	128367	Q21120225	https://en.wikipedia.org/wiki/OR10X1	1
1033	OR1N1	2221	2022-03-11T23:05:06Z	1043797200	138883	Q21109127	https://en.wikipedia.org/wiki/OR1N1	1
1034	OR11H1	2221	2022-03-11T23:05:06Z	1043796297	81061	Q21207522	https://en.wikipedia.org/wiki/OR11H1	1
1035	AGBL4	2222	2022-03-11T23:56:13Z	1047868794	84871	Q21109646	https://en.wikipedia.org/wiki/AGBL4	1
1036	AGBL4	2222	2022-03-11T23:56:13Z	1047868794	84871	Q21145900	https://en.wikipedia.org/wiki/AGBL4	1
1037	PRICKLE4	2224	2022-03-11T23:07:38Z	994542601	29964	Q21119754	https://en.wikipedia.org/wiki/PRICKLE4	1
1038	NLE1	2224	2022-03-11T23:05:00Z	1043634824	54475	Q21123133	https://en.wikipedia.org/wiki/NLE1	1
1039	OR6C2	2225	2022-03-11T23:05:06Z	1043801051	341416	Q21124244	https://en.wikipedia.org/wiki/OR6C2	1
1040	OR2A1	2225	2022-03-11T23:05:06Z	1043797308	346528	Q21109129	https://en.wikipedia.org/wiki/OR2A1	1
1041	COQ6	2226	2022-03-11T23:39:02Z	867230234	51004	Q21111989	https://en.wikipedia.org/wiki/COQ6	1
1042	ZXDC	2230	2022-03-11T23:33:42Z	832011477	79364	Q21110514	https://en.wikipedia.org/wiki/ZXDC	1
1043	IQCE	2233	2022-03-11T23:07:38Z	994768882	23288	Q21107703	https://en.wikipedia.org/wiki/IQCE	1
1044	IQCE	2233	2022-03-11T23:07:38Z	994768882	23288	Q21140038	https://en.wikipedia.org/wiki/IQCE	1
1045	VN1R4	2234	2022-03-11T23:04:30Z	1045954897	317703	Q21136584	https://en.wikipedia.org/wiki/VN1R4	1
1046	HBG2	2238	2022-03-11T23:04:08Z	993895747	3048	Q21103344	https://en.wikipedia.org/wiki/HBG2	1
1047	CCDC90B	2240	2022-03-11T23:16:41Z	932482219	60492	Q21117065	https://en.wikipedia.org/wiki/CCDC90B	1
1048	PPP1R17	2240	2022-03-11T23:07:39Z	1043950469	10842	Q21124953	https://en.wikipedia.org/wiki/PPP1R17	1
1049	P87PIKAP	2240	2022-03-13T19:41:28Z	1072653102	146850	Q21123249	https://en.wikipedia.org/wiki/P87PIKAP	1
1050	Zonadhesin	2241	2022-03-11T23:56:10Z	995400840	7455	Q21136537	https://en.wikipedia.org/wiki/Zonadhesin	1
1051	LGR4	2243	2022-03-11T23:04:30Z	1042912038	55366	Q21121566	https://en.wikipedia.org/wiki/LGR4	1
1052	LGR4	2243	2022-03-11T23:04:30Z	1042912038	55366	Q21149671	https://en.wikipedia.org/wiki/LGR4	1
1053	GTPBP6	2244	2022-03-11T23:12:37Z	1041393843	8225	Q21106263	https://en.wikipedia.org/wiki/GTPBP6	1
1054	Layilin	2249	2022-03-11T23:43:47Z	995772450	143903	Q21133461	https://en.wikipedia.org/wiki/Layilin	1
1055	Layilin	2249	2022-03-11T23:43:47Z	995772450	143903	Q21137794	https://en.wikipedia.org/wiki/Layilin	1
1056	FRMPD4	2249	2022-03-11T23:48:47Z	1044477428	9758	Q21107490	https://en.wikipedia.org/wiki/FRMPD4	1
1057	PLSCR2	2251	2022-03-11T23:24:25Z	1043941245	57047	Q21134270	https://en.wikipedia.org/wiki/PLSCR2	1
1058	MRGPRX3	2252	2022-03-11T23:04:39Z	1043232143	117195	Q21122413	https://en.wikipedia.org/wiki/MRGPRX3	1
1059	OR51B6	2252	2022-03-11T23:05:07Z	1043799261	390058	Q21120301	https://en.wikipedia.org/wiki/OR51B6	1
1060	PHLDB2	2255	2022-03-11T23:05:46Z	1032254999	90102	Q21114535	https://en.wikipedia.org/wiki/PHLDB2	1
1061	MXD3	2258	2022-03-11T23:35:11Z	1043243168	83463	Q21133456	https://en.wikipedia.org/wiki/MXD3	1
1062	MXD3	2258	2022-03-11T23:35:11Z	1043243168	83463	Q21149279	https://en.wikipedia.org/wiki/MXD3	1
1063	SLC22A10	2259	2022-03-15T12:38:42Z	1044814123	387775	Q21135937	https://en.wikipedia.org/wiki/SLC22A10	1
1064	TYSND1	2264	2022-03-11T23:52:50Z	1071716394	219743	Q21136452	https://en.wikipedia.org/wiki/TYSND1	1
1065	DHRS7	2265	2022-03-11T23:39:02Z	1023365736	51635	Q21112214	https://en.wikipedia.org/wiki/DHRS7	1
1066	DHRS7	2265	2022-03-11T23:39:02Z	1023365736	51635	Q21138454	https://en.wikipedia.org/wiki/DHRS7	1
1067	OR5L1	2272	2022-03-11T23:05:06Z	1043800704	219437	Q21124177	https://en.wikipedia.org/wiki/OR5L1	1
1068	OR11H4	2274	2022-03-11T23:05:10Z	1043796311	390442	Q21120196	https://en.wikipedia.org/wiki/OR11H4	1
1069	OR5K1	2274	2022-03-11T23:05:06Z	1043800670	26339	Q21124226	https://en.wikipedia.org/wiki/OR5K1	1
1070	RBM34	2275	2022-03-11T23:07:38Z	1032164750	23029	Q21125034	https://en.wikipedia.org/wiki/RBM34	1
1071	RBM34	2275	2022-03-11T23:07:38Z	1032164750	23029	Q21151848	https://en.wikipedia.org/wiki/RBM34	1
1072	GPR88	2277	2022-03-11T23:03:36Z	1041386917	54112	Q5514296	https://en.wikipedia.org/wiki/GPR88	1
1073	NLRP6	2278	2022-03-11T23:22:32Z	997794672	171389	Q21124027	https://en.wikipedia.org/wiki/NLRP6	1
1074	MAGED4	2285	2022-03-11T23:54:23Z	1044478070	728239	Q21107961	https://en.wikipedia.org/wiki/MAGED4	1
1075	TAF7L	2289	2022-03-11T23:54:37Z	1046537276	54457	Q21122839	https://en.wikipedia.org/wiki/TAF7L	1
1076	PHF20	2291	2022-03-11T23:05:32Z	997280097	51230	Q21144396	https://en.wikipedia.org/wiki/PHF20	1
1077	PHF20	2291	2022-03-11T23:05:32Z	997280097	51230	Q21245839	https://en.wikipedia.org/wiki/PHF20	1
1078	AP4S1	2292	2022-03-11T23:26:36Z	1058271722	11154	Q21111508	https://en.wikipedia.org/wiki/AP4S1	1
1079	TUBD1	2295	2022-03-11T23:31:00Z	1032292150	51174	Q21126549	https://en.wikipedia.org/wiki/TUBD1	1
1080	RNMTL1	2295	2022-03-11T23:05:00Z	1044571895	55178	Q21103103	https://en.wikipedia.org/wiki/RNMTL1	1
1081	KCNH8	2297	2022-03-11T23:09:09Z	1039580427	131096	Q21119837	https://en.wikipedia.org/wiki/KCNH8	1
1082	DCHS1	2298	2022-03-11T23:24:38Z	994728709	8642	Q21121852	https://en.wikipedia.org/wiki/DCHS1	1
1083	CD72	2299	2022-03-19T20:55:01Z	1048868083	971	Q21109692	https://en.wikipedia.org/wiki/CD72	1
1084	AKIRIN2	2300	2022-03-11T23:07:38Z	1075864055	55122	Q21132890	https://en.wikipedia.org/wiki/AKIRIN2	1
1085	HEPN1	2300	2022-03-11T23:52:37Z	997408355	641654	Q21106308	https://en.wikipedia.org/wiki/HEPN1	1
1086	HMCES	2305	2022-03-11T23:55:48Z	1027284075	56941	Q21118298	https://en.wikipedia.org/wiki/HMCES	1
1087	CYP3A7	2309	2022-03-20T21:51:42Z	983067107	1551	Q21117301	https://en.wikipedia.org/wiki/CYP3A7	1
1088	UGT1A8	2315	2022-03-11T23:21:36Z	1024794928	54576	Q21134249	https://en.wikipedia.org/wiki/UGT1A8	1
1089	OR4D2	2316	2022-03-11T23:05:06Z	1043798709	124538	Q21120328	https://en.wikipedia.org/wiki/OR4D2	1
1090	OR4D10	2324	2022-03-11T23:05:10Z	1043798681	390197	Q21120350	https://en.wikipedia.org/wiki/OR4D10	1
1091	CHRNA10	2327	2022-03-11T23:09:08Z	1040126952	57053	Q21108135	https://en.wikipedia.org/wiki/CHRNA10	1
1092	Otoancorin	2331	2022-03-12T00:03:44Z	1048228967	146183	Q21130984	https://en.wikipedia.org/wiki/Otoancorin	1
1093	KCNH3	2339	2022-03-11T23:09:09Z	1020696943	23416	Q21112321	https://en.wikipedia.org/wiki/KCNH3	1
1094	GPR153	2343	2022-03-11T23:04:30Z	1041385304	387509	Q21118977	https://en.wikipedia.org/wiki/GPR153	1
1095	OR51L1	2344	2022-03-11T23:05:06Z	1043799539	119682	Q21121025	https://en.wikipedia.org/wiki/OR51L1	1
1096	SLC12A9	2347	2022-03-15T12:38:42Z	992486510	56996	Q21124427	https://en.wikipedia.org/wiki/SLC12A9	1
1097	SLC12A9	2347	2022-03-15T12:38:42Z	992486510	56996	Q21137397	https://en.wikipedia.org/wiki/SLC12A9	1
1098	OR6M1	2351	2022-03-11T23:05:10Z	1043801181	390261	Q21124183	https://en.wikipedia.org/wiki/OR6M1	1
1099	GPR75	2352	2022-03-11T23:04:29Z	1033075296	10936	Q21110918	https://en.wikipedia.org/wiki/GPR75	1
1100	FAM3B	2353	2022-03-11T23:07:38Z	1075839225	54097	Q21101259	https://en.wikipedia.org/wiki/FAM3B	1
