	QID	label	geneID	proteinID
932	Q14904983	CYP11B2	1585	Q3609382
939	Q14905263	HSPB1	3315	Q3141769
942	Q14905618	NLRP3	114548	Q4044963
952	Q14905625	CALCR	799	Q3931282
961	Q14905648	ELANE	1991	Q3721138
969	Q14905729	SCN5A	6331	Q3459294
971	Q14874537	UBA1	7317	Q5394965
975	Q14876123	CD209	30835	Q5204455
983	Q14877933	DCDC2	51473	Q5204485
989	Q14880807	EP300	2033	Q5323823
993	Q14885185	IL2RG	3561	Q5153546
1001	Q14885337	DYSF	8291	Q5319403
1007	Q14889334	FGF1	2246	Q5425464
1012	Q14889529	FGF3	2248	Q5425477
1017	Q14901714	CAV3	859	Q5055040
1020	Q14902310	ESR1	2099	Q5401858
1025	Q14904760	FSHR	2492	Q5464652
1032	Q14904899	EPOR	2057	Q5396506
1036	Q14905286	SLC1A7	6512	Q5419640
1039	Q14905292	SLC1A6	6511	Q5419638
1042	Q14905299	C6	729	Q5156406
1047	Q14905502	LNPEP	4012	Q5201223
1053	Q14905580	FUCA1	2517	Q5507033
1056	Q14905606	FOXC2	2303	Q5426937
1061	Q14905674	DCC	1630	Q5253642
1066	Q14906154	CTTN	2017	Q5173210
1078	Q14866230	TLR3	7098	Q388855
1088	Q14874349	IGF2	3481	Q2006984
1101	Q14882120	ANG	283	Q2043052
1109	Q14887306	SLC2A4	6517	Q419973
1110	Q14890615	APOB	338	Q648343
1122	Q14891424	HTR2A	3356	Q1949517
1135	Q14897677	LALBA	3906	Q1754323
1148	Q14897851	CD40LG	959	Q2071144
1165	Q14897864	VLDLR	7436	Q1979313
1170	Q14901457	IGF1R	3480	Q2005209
1176	Q14906031	IL11	3589	Q2698453
1188	Q14906072	PVR	5817	Q3648605
1197	Q14906367	THBS1	7057	Q3822573
1204	Q14906786	EPX	8288	Q3900051
1208	Q14906812	NES	10763	Q3874932
1215	Q14907187	IL18	3606	Q2657109
1234	Q14907275	IL22	50616	Q3799489
1246	Q14907296	PMAIP1	5366	Q3879131
1249	Q14907362	SCGB1A1	7356	Q3031346
1255	Q14907780	CX3CL1	6376	Q2743450
1265	Q14907896	KRT8	3856	Q3201121
1269	Q14907942	ADAM17	6868	Q4032890
1276	Q14911965	CASP8	841	Q5049059
1286	Q14912165	ARTN	9048	Q4797457
1290	Q14912176	ANGPT1	284	Q4763283
1292	Q14912267	CYP2B6	1555	Q5014958
1298	Q14912280	CHEK2	11200	Q5011104
1305	Q14912399	FLT3	2322	Q5009781
1311	Q14912958	BMPR1B	658	Q4835993
1315	Q14912969	CHL1	10752	Q5011187
1318	Q14913002	CPE	1363	Q5038088
1323	Q14913269	CASP2	835	Q5049051
1328	Q14913997	ENPP2	5168	Q4827012
1333	Q14914047	KCNE2	9992	Q4890900
1338	Q14914081	TLR7	51284	Q4822789
1344	Q14914108	CIITA	4261	Q5011707
1353	Q14914370	CASP3	836	Q5049057
1363	Q14914549	BTC	685	Q4897318
1366	Q14916190	CYP2C8	1558	Q5014957
1373	Q14908037	TGFA	7039	Q3740187
1384	Q14908178	DAXX	1616	Q3019283
1391	Q14908233	ANXA2	302	Q2851537
1396	Q14908239	ANXA5	308	Q2851539
1402	Q14908739	CLOCK	9575	Q3610562
1408	Q14911536	PEMT	10400	Q3266424
1414	Q14911542	EEA1	8411	Q4037784
1418	Q14912836	CD5	921	Q2739079
1430	Q14912973	DCX	1641	Q3714578
1438	Q14913226	TNFRSF9	3604	Q2850113
1444	Q14914057	MSLN	10232	Q2601351
1450	Q14914401	GAB2	9846	Q4039104
1455	Q14914431	LTBR	4055	Q3555498
1464	Q14914514	JAK2	3717	Q3162114
1471	Q14906191	CNTF	1270	Q5119950
1476	Q14907373	CYP7A1	1581	Q5104318
1479	Q14907978	FKBP4	2288	Q5426019
1485	Q14907998	DNMT1	1786	Q5205796
1491	Q14908075	CFC1B	653275	Q5185852
1494	Q14908148	EPB41	2035	Q5323837
1500	Q14911530	ETF1	2107	Q5408693
1504	Q14911644	FGFR2	2263	Q5446456
1514	Q14911754	CDK4	1019	Q5198250
1521	Q14911762	CDK6	1021	Q5198252
1527	Q14911924	OPRM1	4988	Q5123372
1535	Q14912060	PDHX	8050	Q5322400
1538	Q14912191	ERBIN	55914	Q5385169
1542	Q14912501	FTO	79068	Q5427209
1550	Q14914133	SLC11A2	4891	Q5205645
1555	Q14914175	DCK	1633	Q5260065
1561	Q14914258	FGFR1	2260	Q5446453
1568	Q14914358	FGFR3	2261	Q5446457
1573	Q15311448	CHD7	55636	Q5011082
1581	Q15311488	CBX1	10951	Q5009348
1586	Q15311509	CBX3	11335	Q5009352
1590	Q15311955	CRTAP	10491	Q5047347
1595	Q15314786	CTNNBIP1	56998	Q5014587
1601	Q15315717	CD151	977	Q5009782
1607	Q15317174	SNCB	6620	Q4897230
1613	Q15318368	BRS3	680	Q4940667
1617	Q15320335	COMP	1311	Q5047352
1622	Q15324798	CSNK1D	1453	Q5014193
1625	Q15331036	APLNR	187	Q4779334
1631	Q17830316	BIRC3	330	Q4840095
1638	Q17832136	ARSL	415	Q4802710
1641	Q17848647	BIK	638	Q4875406
1643	Q17854427	CA4	762	Q5038044
1647	Q17854517	CA9	768	Q5038045
1651	Q17860104	CDH15	1013	Q5009931
1656	Q17861926	CHRM1	1128	Q4847900
1662	Q17861931	CHRM2	1129	Q4847910
1668	Q17861965	CHRM4	1132	Q4847907
1671	Q17861739	AKR1C4	1109	Q4634197
1673	Q18030619	PMP22	5376	Q4351363
1681	Q18031254	RPL28	6158	Q4641656
1684	Q18031256	RPL31	6160	Q4641660
1687	Q18031264	RPL38	6169	Q4641661
1691	Q18031266	RPL41	6171	Q4641662
1693	Q18032221	TTPA	7274	Q4734939
1697	Q18032728	AAAS	8086	Q4649718
1700	Q18032743	ANP32A	8125	Q4674092
1703	Q18033696	KALRN	8997	Q4104271
1710	Q18033782	RPL14	9045	Q4641655
1713	Q18033785	AIP	9049	Q4651796
1717	Q18035170	DENND4A	10260	Q4063645
1722	Q18035471	PROCR	10544	Q4531864
1728	Q18036412	RPL35	11224	Q4641659
1731	Q18036533	AAK1	22848	Q4649887
1735	Q18039826	IL21R	50615	Q4472650
1738	Q18040751	A4GALT	53947	Q4649392
1741	Q18045656	AKTIP	64400	Q4652204
1746	Q18046470	ADM2	79924	Q4651148
1751	Q18048560	ZNF804A	91752	Q4053528
1754	Q18048742	GCNA	93953	Q4674093
1757	Q18049778	AADACL3	126767	Q4649847
1764	Q18055536	AADACL4	343066	Q4649848
1770	Q18251054	CFB	629	Q4256414
1771	Q15311575	XRN2	22803	Q4639527
1774	Q15313770	DTNBP1	84062	Q4162121
1779	Q15315873	ABCB11	8647	Q4650061
1783	Q15315974	ABCB4	5244	Q4650057
1788	Q15320451	RUNX1	861	Q4392325
1795	Q15321191	ITGAE	3682	Q4201959
1799	Q15323879	ARNTL2	56938	Q4653884
1803	Q15327913	MMP2	4313	Q4216080
1808	Q15330391	ATN1	1822	Q4654745
1811	Q15332271	TLR6	10333	Q4459745
1818	Q15332524	TLR8	51311	Q4459747
1823	Q15332739	TLR10	81793	Q4459743
1829	Q17694745	AADAC	13	Q4649849
1832	Q17710464	ADRA1D	146	Q4734887
1837	Q17710475	ADRA1B	147	Q4734886
1843	Q17710494	ADRA1A	148	Q4734884
1850	Q17710525	ADRA2A	150	Q4734892
1858	Q17710555	ADRA2C	152	Q4734891
1863	Q17832124	STS	412	Q4442399
1877	Q14914390	FBL	2091	Q5446439
1882	Q14914444	FMO3	2328	Q5458076
1887	Q14914481	CER1	9350	Q5063909
1890	Q14914527	ETV6	2120	Q5324491
1893	Q14914531	CENPB	1059	Q5062977
1896	Q14914546	EREG	2069	Q5383215
1902	Q14914609	NCOR2	9612	Q5487814
1907	Q15311603	RNASE2	6036	Q5381899
1915	Q15311768	FGD1	2245	Q5425457
1918	Q15311861	CCND1	595	Q5198270
1926	Q15313456	DNMT3B	1789	Q5205795
1932	Q15314615	NR0B1	190	Q5204362
1936	Q15314942	CDK9	1025	Q5198256
1940	Q15318896	FOXP1	27086	Q5426962
1945	Q15319168	ADGRE1	2015	Q5323620
1951	Q15319260	ADGRE2	30817	Q5323621
1959	Q15319343	ADGRE3	84658	Q5323622
1964	Q15323469	FBXL3	26224	Q5424662
1968	Q15329133	ESR2	2100	Q5401857
1975	Q15333016	E2F1	1869	Q5322375
1983	Q17860467	CDKN1C	1028	Q5198257
1988	Q17907781	CLPTM1	1209	Q5131087
1991	Q17914124	DPEP1	1800	Q5279726
1995	Q17930673	FRG1	2483	Q5427063
1999	Q18021211	CDA	978	Q5201323
2005	Q18021237	CDK3	1018	Q5198251
2009	Q18021240	CDK7	1022	Q5198253
2013	Q18021243	CDK8	1024	Q5198254
2016	Q18024732	FTL	2512	Q5445389
2021	Q18026423	FFAR1	2864	Q5500222
2027	Q18026426	FFAR3	2865	Q5500227
2031	Q18026432	FFAR2	2867	Q5500223
2035	Q18028747	M6PR	4074	Q5053548
2038	Q18030628	EXOSC10	5394	Q5420679
2042	Q18030641	POLB	5423	Q5205765
2049	Q18032815	CDC7	8317	Q5058187
2053	Q18032930	RAD54L	8438	Q5205769
2057	Q18033106	CDK10	8558	Q5198248
2060	Q18033499	FUBP1	8880	Q5434666
2066	Q18033878	EXO1	9156	Q5420624
2069	Q18034308	CHST3	9469	Q5104531
2070	Q18035843	CYSLTR1	10800	Q5201201
2074	Q17909123	CPA2	1358	Q5038085
2080	Q18022191	CTSL	1514	Q5052487
