	geneid	pmid
0	9047	12477932
1	5154	19956642
2	5154	18992915
3	5154	18592007
4	5154	18332228
5	5154	17958740
6	5154	17578349
7	5154	16850112
8	1758	18037646
9	2571	25851180
10	51422	23263486
