	geneID	proteinID	wikilink	counts
87	102	Q21113783	https://en.wikipedia.org/wiki/ADAM10	1
88	102	Q21137187	https://en.wikipedia.org/wiki/ADAM10	1
89	102	Q21137617	https://en.wikipedia.org/wiki/ADAM10	1
90	103	Q21118028	https://en.wikipedia.org/wiki/ADAR	1
91	104	Q21113739	https://en.wikipedia.org/wiki/ADARB1	1
92	105	Q21127013	https://en.wikipedia.org/wiki/ADARB2	1
93	107	Q21111202	https://en.wikipedia.org/wiki/ADCY1	1
94	108	Q21111201	https://en.wikipedia.org/wiki/ADCY2	1
95	108	Q21151772	https://en.wikipedia.org/wiki/ADCY2	1
96	109	Q21111192	https://en.wikipedia.org/wiki/ADCY3	1
97	109	Q21139664	https://en.wikipedia.org/wiki/ADCY3	1
98	111	Q21111195	https://en.wikipedia.org/wiki/ADCY5	1
99	112	Q21111191	https://en.wikipedia.org/wiki/ADCY6	1
100	113	Q21111200	https://en.wikipedia.org/wiki/ADCY7	1
101	114	Q21111198	https://en.wikipedia.org/wiki/ADCY8	1
102	114	Q21137632	https://en.wikipedia.org/wiki/ADCY8	1
103	115	Q21111193	https://en.wikipedia.org/wiki/ADCY9	1
104	115	Q21149543	https://en.wikipedia.org/wiki/ADCY9	1
105	116	Q6591522	https://en.wikipedia.org/wiki/Pituitary_adenylate_cyclase-activating_peptide	1
106	117	Q21123675	https://en.wikipedia.org/wiki/ADCYAP1R1	1
107	118	Q21111197	https://en.wikipedia.org/wiki/ADD1	1
108	118	Q21150808	https://en.wikipedia.org/wiki/ADD1	1
109	119	Q21110408	https://en.wikipedia.org/wiki/ADD2	1
110	120	Q21110409	https://en.wikipedia.org/wiki/ADD3	1
111	123	Q21134178	https://en.wikipedia.org/wiki/Perilipin-2	1
112	124	Q21155117	https://en.wikipedia.org/wiki/ADH1A	1
113	125	Q21155115	https://en.wikipedia.org/wiki/ADH1B	1
114	126	Q21155116	https://en.wikipedia.org/wiki/ADH1C	1
115	127	Q21157766	https://en.wikipedia.org/wiki/ADH4	1
116	128	Q21101825	https://en.wikipedia.org/wiki/ADH5	1
117	128	Q21145904	https://en.wikipedia.org/wiki/ADH5	1
118	130	Q21157768	https://en.wikipedia.org/wiki/ADH6	1
119	131	Q21096468	https://en.wikipedia.org/wiki/ADH7	1
120	131	Q21150798	https://en.wikipedia.org/wiki/ADH7	1
121	132	Q21173352	https://en.wikipedia.org/wiki/ADK_(gene)	1
122	133	Q366935	https://en.wikipedia.org/wiki/Adrenomedullin	1
123	134	Q3062781	https://en.wikipedia.org/wiki/Adenosine_A1_receptor	1
124	135	Q21116162	https://en.wikipedia.org/wiki/Adenosine_A2A_receptor	1
125	135	Q21137489	https://en.wikipedia.org/wiki/Adenosine_A2A_receptor	1
126	135	Q21149601	https://en.wikipedia.org/wiki/Adenosine_A2A_receptor	1
127	136	Q21116164	https://en.wikipedia.org/wiki/Adenosine_A2B_receptor	1
128	140	Q21116154	https://en.wikipedia.org/wiki/Adenosine_A3_receptor	1
129	142	Q21112674	https://en.wikipedia.org/wiki/PARP1	1
130	143	Q21120403	https://en.wikipedia.org/wiki/PARP4	1
131	146	Q21149459	https://en.wikipedia.org/wiki/Alpha-1D_adrenergic_receptor	1
132	146	Q4734887	https://en.wikipedia.org/wiki/Alpha-1D_adrenergic_receptor	1
133	147	Q4734886	https://en.wikipedia.org/wiki/Alpha-1B_adrenergic_receptor	1
134	148	Q4734884	https://en.wikipedia.org/wiki/Alpha-1A_adrenergic_receptor	1
135	150	Q4734892	https://en.wikipedia.org/wiki/Alpha-2A_adrenergic_receptor	1
136	151	Q21141045	https://en.wikipedia.org/wiki/Alpha-2B_adrenergic_receptor	1
137	152	Q4734891	https://en.wikipedia.org/wiki/Alpha-2C_adrenergic_receptor	1
138	153	Q287958	https://en.wikipedia.org/wiki/Beta-1_adrenergic_receptor	1
139	154	Q287961	https://en.wikipedia.org/wiki/Beta-2_adrenergic_receptor	1
140	155	Q4897175	https://en.wikipedia.org/wiki/Beta-3_adrenergic_receptor	1
141	156	Q4897285	https://en.wikipedia.org/wiki/G_protein-coupled_receptor_kinase_2	1
142	157	Q21112691	https://en.wikipedia.org/wiki/G_protein-coupled_receptor_kinase_3	1
143	157	Q21140383	https://en.wikipedia.org/wiki/G_protein-coupled_receptor_kinase_3	1
144	158	Q356244	https://en.wikipedia.org/wiki/Adenylosuccinate_lyase	1
145	160	Q21116554	https://en.wikipedia.org/wiki/Adaptor-related_protein_complex_2,_alpha_1	1
146	160	Q21151235	https://en.wikipedia.org/wiki/Adaptor-related_protein_complex_2,_alpha_1	1
147	161	Q21116548	https://en.wikipedia.org/wiki/AP2A2	1
148	161	Q21137149	https://en.wikipedia.org/wiki/AP2A2	1
149	162	Q21109463	https://en.wikipedia.org/wiki/AP1B1	1
150	162	Q21140382	https://en.wikipedia.org/wiki/AP1B1	1
151	163	Q21116359	https://en.wikipedia.org/wiki/AP2B1	1
152	163	Q21143381	https://en.wikipedia.org/wiki/AP2B1	1
153	164	Q21116542	https://en.wikipedia.org/wiki/AP1G1	1
154	165	Q21104965	https://en.wikipedia.org/wiki/Ae_binding_protein_1	1
155	167	Q21201570	https://en.wikipedia.org/wiki/CRISP1	1
156	173	Q21132867	https://en.wikipedia.org/wiki/Afamin	1
157	174	Q306076	https://en.wikipedia.org/wiki/Alpha-fetoprotein	1
158	175	Q21139075	https://en.wikipedia.org/wiki/Aspartylglucosaminidase	1
159	175	Q4807720	https://en.wikipedia.org/wiki/Aspartylglucosaminidase	1
160	176	Q21121862	https://en.wikipedia.org/wiki/Aggrecan	1
161	177	Q21150916	https://en.wikipedia.org/wiki/RAGE_(receptor)	1
162	177	Q22683568	https://en.wikipedia.org/wiki/RAGE_(receptor)	1
163	177	Q7275713	https://en.wikipedia.org/wiki/RAGE_(receptor)	1
164	178	Q1532471	https://en.wikipedia.org/wiki/Glycogen_debranching_enzyme	1
165	181	Q2514134	https://en.wikipedia.org/wiki/Agouti-related_peptide	1
166	182	Q3780451	https://en.wikipedia.org/wiki/JAG1	1
167	183	Q412999	https://en.wikipedia.org/wiki/Angiotensin_II_(medication)	1
168	183	Q65963433	https://en.wikipedia.org/wiki/Angiotensin	1
169	185	Q2819188	https://en.wikipedia.org/wiki/Angiotensin_II_receptor_type_1	1
170	186	Q21113831	https://en.wikipedia.org/wiki/Angiotensin_II_receptor_type_2	1
171	187	Q4779334	https://en.wikipedia.org/wiki/Apelin_receptor	1
172	189	Q21122112	https://en.wikipedia.org/wiki/AGXT	1
173	190	Q21137010	https://en.wikipedia.org/wiki/DAX1	1
174	190	Q5204362	https://en.wikipedia.org/wiki/DAX1	1
175	191	Q21172649	https://en.wikipedia.org/wiki/Adenosylhomocysteinase	1
176	196	Q155750	https://en.wikipedia.org/wiki/Aryl_hydrocarbon_receptor	1
177	197	Q21154397	https://en.wikipedia.org/wiki/Alpha-2-HS-glycoprotein	1
178	199	Q21141219	https://en.wikipedia.org/wiki/Allograft_inflammatory_factor_1	1
179	199	Q21172941	https://en.wikipedia.org/wiki/Allograft_inflammatory_factor_1	1
180	202	Q21116457	https://en.wikipedia.org/wiki/AIM1	1
181	202	Q21137641	https://en.wikipedia.org/wiki/AIM1	1
182	203	Q21130938	https://en.wikipedia.org/wiki/Adenylate_kinase_1	1
183	204	Q21103440	https://en.wikipedia.org/wiki/AK2	1
184	205	Q5657577	https://en.wikipedia.org/wiki/AK3L1	1
185	207	Q21114990	https://en.wikipedia.org/wiki/AKT1	1
186	207	Q21140482	https://en.wikipedia.org/wiki/AKT1	1
187	208	Q21116502	https://en.wikipedia.org/wiki/AKT2	1
188	208	Q21137530	https://en.wikipedia.org/wiki/AKT2	1
189	210	Q21173759	https://en.wikipedia.org/wiki/Delta-aminolevulinic_acid_dehydratase	1
190	211	Q21113877	https://en.wikipedia.org/wiki/ALAS1	1
191	212	Q21100328	https://en.wikipedia.org/wiki/ALAS2	1
192	213	Q11721976	https://en.wikipedia.org/wiki/Human_serum_albumin	1
193	213	Q11721976	https://en.wikipedia.org/wiki/Serum_albumin	1
194	213	Q21141183	https://en.wikipedia.org/wiki/Serum_albumin	1
195	214	Q21113038	https://en.wikipedia.org/wiki/ALCAM	1
196	215	Q4650077	https://en.wikipedia.org/wiki/ABCD1	1
197	216	Q21101832	https://en.wikipedia.org/wiki/ALDH1A1	1
198	216	Q21151882	https://en.wikipedia.org/wiki/ALDH1A1	1
199	217	Q2640417	https://en.wikipedia.org/wiki/ALDH2	1
200	218	Q21097139	https://en.wikipedia.org/wiki/Aldehyde_dehydrogenase_3_family,_member_A1	1
201	218	Q21151220	https://en.wikipedia.org/wiki/Aldehyde_dehydrogenase_3_family,_member_A1	1
202	219	Q21101834	https://en.wikipedia.org/wiki/ALDH1B1	1
203	220	Q21101841	https://en.wikipedia.org/wiki/ALDH1A3	1
204	220	Q21137893	https://en.wikipedia.org/wiki/ALDH1A3	1
205	221	Q21097140	https://en.wikipedia.org/wiki/ALDH3B1	1
206	221	Q21149493	https://en.wikipedia.org/wiki/ALDH3B1	1
207	221	Q21151911	https://en.wikipedia.org/wiki/ALDH3B1	1
208	222	Q21097141	https://en.wikipedia.org/wiki/ALDH3B2	1
209	223	Q21097146	https://en.wikipedia.org/wiki/Aldehyde_dehydrogenase_9_family,_member_A1	1
210	224	Q21097156	https://en.wikipedia.org/wiki/Long-chain-aldehyde_dehydrogenase	1
211	224	Q21144117	https://en.wikipedia.org/wiki/Long-chain-aldehyde_dehydrogenase	1
212	225	Q21113681	https://en.wikipedia.org/wiki/ABCD2	1
213	226	Q5255119	https://en.wikipedia.org/wiki/Aldolase_A	1
214	229	Q3820163	https://en.wikipedia.org/wiki/Aldolase_B	1
215	230	Q21112589	https://en.wikipedia.org/wiki/Aldolase_C	1
216	230	Q21139160	https://en.wikipedia.org/wiki/Aldolase_C	1
217	231	Q22679043	https://en.wikipedia.org/wiki/AKR1B1	1
218	238	Q21111336	https://en.wikipedia.org/wiki/Anaplastic_lymphoma_kinase	1
219	239	Q21133173	https://en.wikipedia.org/wiki/ALOX12	1
220	241	Q4639667	https://en.wikipedia.org/wiki/5-lipoxygenase-activating_protein	1
221	242	Q21107911	https://en.wikipedia.org/wiki/ALOX12B	1
222	246	Q22676816	https://en.wikipedia.org/wiki/ALOX15	1
223	247	Q21119941	https://en.wikipedia.org/wiki/ALOX15B	1
224	248	Q21120685	https://en.wikipedia.org/wiki/ALPI	1
225	249	Q21104643	https://en.wikipedia.org/wiki/ALPL	1
226	250	Q21116580	https://en.wikipedia.org/wiki/Placental_alkaline_phosphatase	1
227	251	Q21158707	https://en.wikipedia.org/wiki/ALPPL2	1
228	257	Q21111350	https://en.wikipedia.org/wiki/ALX3	1
229	258	Q779420	https://en.wikipedia.org/wiki/Ameloblastin	1
230	259	Q21111341	https://en.wikipedia.org/wiki/Alpha-1-microglobulin/bikunin_precursor	1
231	265	Q4652602	https://en.wikipedia.org/wiki/AMELX	1
232	266	Q4652604	https://en.wikipedia.org/wiki/AMELY	1
233	267	Q21112658	https://en.wikipedia.org/wiki/AMFR	1
234	268	Q21108939	https://en.wikipedia.org/wiki/Anti-M%C3%BCllerian_hormone	1
235	269	Q21112631	https://en.wikipedia.org/wiki/AMHR2_(gene)	1
236	269	Q21112631	https://en.wikipedia.org/wiki/Anti-Mullerian_hormone_receptor_type_2	1
237	270	Q4652703	https://en.wikipedia.org/wiki/AMP_deaminase	1
238	271	Q21111363	https://en.wikipedia.org/wiki/AMP_deaminase_2	1
239	271	Q21145909	https://en.wikipedia.org/wiki/AMP_deaminase_2	1
240	272	Q21111360	https://en.wikipedia.org/wiki/AMPD3	1
241	273	Q21140066	https://en.wikipedia.org/wiki/Amphiphysin	1
242	273	Q4748325	https://en.wikipedia.org/wiki/Amphiphysin	1
243	274	Q21115486	https://en.wikipedia.org/wiki/BIN1	1
244	274	Q21117586	https://en.wikipedia.org/wiki/BIN1	1
245	274	Q21137199	https://en.wikipedia.org/wiki/BIN1	1
246	275	Q21110356	https://en.wikipedia.org/wiki/Aminomethyltransferase	1
247	276	Q306540	https://en.wikipedia.org/wiki/AMY1A	1
248	278	Q306540	https://en.wikipedia.org/wiki/AMY1C	1
249	279	Q21173369	https://en.wikipedia.org/wiki/AMY2A	1
250	280	Q21097172	https://en.wikipedia.org/wiki/AMY2B	1
251	283	Q2043052	https://en.wikipedia.org/wiki/Angiogenin	1
252	284	Q4763283	https://en.wikipedia.org/wiki/Angiopoietin_1	1
253	285	Q4652964	https://en.wikipedia.org/wiki/ANGPT2	1
254	286	Q21097227	https://en.wikipedia.org/wiki/Ankyrin-1	1
255	287	Q21097261	https://en.wikipedia.org/wiki/Ankyrin-2	1
256	288	Q21131080	https://en.wikipedia.org/wiki/Ankyrin-3	1
257	288	Q21148944	https://en.wikipedia.org/wiki/Ankyrin-3	1
258	290	Q2830638	https://en.wikipedia.org/wiki/Alanine_aminopeptidase	1
259	291	Q21111224	https://en.wikipedia.org/wiki/ADP/ATP_translocase_1	1
