	QID	label	geneID	proteinID
243	Q18032303	UROS	7390	Q21145474
244	Q18032303	UROS	7390	Q21173606
245	Q18032314	VASP	7408	Q1299381
246	Q18032314	VASP	7408	Q21141632
247	Q18032317	VBP1	7411	Q21122495
249	Q18032324	VEGFA	7422	Q7916455
252	Q18032362	WNT6	7475	Q21135927
254	Q18032373	GET1	7485	Q21122298
256	Q18032381	XG	7499	Q21134349
258	Q18032415	ZFP37	7539	Q21124022
260	Q18032417	ZFPL1	7542	Q21134353
261	Q18032417	ZFPL1	7542	Q21152261
264	Q18032425	ZNF711	7552	Q21174122
266	Q18032431	ZNF12	7559	Q21174351
268	Q18032432	ZNF14	7561	Q21174354
270	Q18032433	ZNF708	7562	Q21174441
272	Q18032435	ZNF17	7565	Q21139409
273	Q18032435	ZNF17	7565	Q21174415
276	Q18032436	ZNF18	7566	Q21141585
277	Q18032436	ZNF18	7566	Q21173217
280	Q18032439	ZNF20	7568	Q21137414
281	Q18032439	ZNF20	7568	Q22676864
284	Q18032446	ZNF28	7576	Q21150275
285	Q18032446	ZNF28	7576	Q21174420
288	Q18032448	ZSCAN20	7579	Q21124787
290	Q18032449	ZNF32	7580	Q21173897
292	Q18032460	ZNF45	7596	Q21174424
294	Q18032461	ZBTB25	7597	Q21112147
296	Q18032465	ZNF69	7620	Q21173389
298	Q18032467	ZNF70	7621	Q21174430
300	Q18032470	ZNF75D	7626	Q21174358
302	Q18032471	ZNF75A	7627	Q21174117
304	Q18032476	ZNF80	7634	Q21175148
306	Q18032478	ZNF221	7638	Q21136871
308	Q18032480	ZNF85	7639	Q21175152
310	Q18032483	ZNF90	7643	Q21202309
312	Q18032484	ZNF91	7644	Q21136804
314	Q18032485	ZNF99	7652	Q21136800
316	Q18032489	ZNF124	7678	Q21173364
318	Q18032494	ZNF131	7690	Q21133063
320	Q18032495	ZNF132	7691	Q21136544
322	Q18032498	ZNF135	7694	Q21174272
324	Q18032499	ZNF136	7695	Q21132450
325	Q18032499	ZNF136	7695	Q21145259
328	Q18032501	ZNF138	7697	Q21140031
329	Q18032501	ZNF138	7697	Q21174274
332	Q18032502	ZNF140	7699	Q21174270
334	Q18032504	ZNF141	7700	Q21174285
336	Q18032514	ZNF154	7710	Q21136550
338	Q18032515	ZNF155	7711	Q21139513
339	Q18032515	ZNF155	7711	Q21174283
342	Q18032520	TRIM26	7726	Q21116366
343	Q18032520	TRIM26	7726	Q21117613
346	Q18032521	ZNF174	7727	Q21136551
348	Q18032523	ZNF177	7730	Q21174284
350	Q18032524	RNF112	7732	Q21133437
352	Q18032528	ZNF185	7739	Q21136540
354	Q18032529	ZSCAN26	7741	Q21116986
355	Q18032529	ZSCAN26	7741	Q21141903
358	Q18032530	ZNF189	7743	Q21174439
360	Q18032531	ZKSCAN8	7745	Q21136625
362	Q18032533	ZNF195	7748	Q21140056
363	Q18032533	ZNF195	7748	Q21174432
366	Q18032538	ZNF205	7755	Q21139017
367	Q18032538	ZNF205	7755	Q21174254
370	Q18032541	ZNF213	7760	Q21145431
371	Q18032541	ZNF213	7760	Q21174434
374	Q18032542	ZNF214	7761	Q21174467
376	Q18032547	ZNF215	7762	Q21174464
378	Q18032573	ZNF223	7766	Q21173818
380	Q18032591	ZNF227	7770	Q21137533
381	Q18032591	ZNF227	7770	Q21173455
384	Q18032595	ZNF232	7775	Q21131337
386	Q18032599	SLC30A2	7780	Q21113758
388	Q18032605	ZXDA	7789	Q21110513
390	Q18032608	LUZP1	7798	Q21133864
391	Q18032608	LUZP1	7798	Q21152249
394	Q18032611	DNALI1	7802	Q21111365
396	Q289013	A2M	2	Q22680187
397	Q407983	ACHE	43	Q22676679
401	Q414043	RELN	5649	Q13561329
402	Q3064159	F9	2158	Q425360
403	Q3604529	FASN	2194	Q81924470
404	Q416426	CS	1431	Q21132608
405	Q416426	CS	1431	Q21138249
406	Q417743	PC	5091	Q21114968
407	Q419977	GIP	2695	Q22677256
408	Q424737	SRC	6714	Q21109354
413	Q18030975	PXMP2	5827	Q21150548
415	Q18030980	PCYT2	5833	Q21139635
416	Q18030980	PCYT2	5833	Q22676820
417	Q18030983	PYGM	5837	Q21115156
419	Q18030991	RAB3IL1	5866	Q21113006
420	Q18030991	RAB3IL1	5866	Q21139620
423	Q18031000	RAB27B	5874	Q21115772
424	Q18031000	RAB27B	5874	Q21143384
427	Q18031001	RABGGTA	5875	Q21126818
428	Q18031002	RABGGTB	5876	Q21116667
429	Q18031066	RBMS2	5939	Q21125036
431	Q18031104	RFPL1	5988	Q21134274
433	Q18031132	RLN1	6013	Q21126127
434	Q18031139	RLN2	6019	Q21126112
435	Q18031160	RNF6	6049	Q21097370
437	Q18031225	RPL3L	6123	Q21135393
438	Q18031332	RSC1A1	6248	Q21127120
440	Q18031384	ATXN7	6314	Q21172190
442	Q18031390	SCML1	6322	Q21135472
444	Q18031414	CCL15	6359	Q21113944
445	Q18031414	CCL15	6359	Q21117597
448	Q18031421	CXCL6	6372	Q21113163
449	Q18031922	TCTA	6988	Q21125302
451	Q18031924	DYNLT2	6991	Q21127357
453	Q18031994	TIE1	7075	Q21118514
454	Q18032004	TKT	7086	Q22679859
455	Q18032016	TM4SF4	7104	Q21115890
457	Q18032041	TNFAIP2	7127	Q21135803
458	Q18032041	TNFAIP2	7127	Q21139623
461	Q18032085	TPR	7175	Q21119993
462	Q18032085	TPR	7175	Q21150319
465	Q18032104	TRH	7200	Q21135109
466	Q18032229	TULP2	7288	Q21135829
467	Q18032229	TULP2	7288	Q21149840
470	Q18032230	TULP3	7289	Q21105140
472	Q18032234	TNFSF4	7292	Q21124644
474	Q18032250	UBC	7316	Q21111827
475	Q18032250	UBC	7316	Q21138647
484	Q18027559	IDI1	3422	Q21151146
486	Q18027976	IPP	3652	Q21107744
488	Q18027984	ITGA6	3655	Q21107772
489	Q18027989	IREB2	3658	Q21118453
490	Q18027989	IREB2	3658	Q21142423
493	Q18028249	KHK	3795	Q21155977
495	Q18028274	KIR2DL3	3804	Q21119881
497	Q18028315	KLRC3	3823	Q21123098
499	Q18028333	KIF25	3834	Q21119922
500	Q18028368	KRTAP5-9	3846	Q21115159
502	Q18028374	KRT6B	3854	Q21118931
503	Q18028404	KRT82	3888	Q21119255
505	Q18028496	LCT	3938	Q379764
506	Q18028510	LDHC	3948	Q21119929
507	Q18028588	LLGL2	3993	Q21114882
508	Q18028588	LLGL2	3993	Q21145037
511	Q18028591	FADS3	3995	Q21132818
512	Q18028591	FADS3	3995	Q21139301
515	Q18028612	PRICKLE3	4007	Q21104712
517	Q18028652	LRMP	4033	Q21132304
518	Q18028652	LRMP	4033	Q21150232
521	Q18028676	LSAMP	4045	Q21133712
522	Q18028676	LSAMP	4045	Q21137694
525	Q18028712	LY6H	4062	Q21108824
527	Q18033165	JRK	8629	Q21117645
530	Q18033170	RTCA	8634	Q21208048
532	Q18033172	SSNA1	8636	Q21132210
534	Q14902252	PCNA	5111	Q418732
535	Q14904834	CPOX	1371	Q410444
536	Q14904834	CPOX	1371	Q21142849
541	Q18033177	PCDHGB4	8641	Q21121096
543	Q18033182	CHRD	8646	Q22679041
545	Q18033219	JRKL	8690	Q21116085
547	Q18033222	GALNT4	8693	Q22676754
548	Q18033232	B3GALT2	8707	Q21109512
549	Q18033233	B3GALT1	8708	Q21109552
550	Q18033235	TNK1	8711	Q9081246
551	Q18033292	TNFSF9	8744	Q21124647
